   # exclusion    outcome  unit     inference          pooling   N_cells  delta_pp            p
   1 none         lenient  cluster  cluster_bootstrap  separate     1691   -17.842    9.047e-13
   2 none         lenient  cluster  permutation        separate     1691   -17.842    9.047e-13
   3 none         lenient  cluster  ols_robustSE       separate     1691   -17.842    1.810e-32
   4 none         lenient  cluster  cluster_bootstrap  pooled       1691   -17.824    9.999e-05
   5 none         lenient  cluster  permutation        pooled       1691   -17.824    9.999e-05
   6 none         lenient  cluster  ols_robustSE       pooled       1691   -17.824    4.131e-21
   7 none         strict   cluster  cluster_bootstrap  pooled       1692   -17.735    9.999e-05
   8 none         strict   cluster  permutation        pooled       1692   -17.735    9.999e-05
   9 none         strict   cluster  ols_robustSE       pooled       1692   -17.735    7.720e-21
  10 none         strict   cluster  cluster_bootstrap  separate     1692   -17.735    9.047e-13
  11 none         strict   cluster  permutation        separate     1692   -17.735    9.047e-13
  12 none         strict   cluster  ols_robustSE       separate     1692   -17.735    6.035e-32
  13 defect_only  lenient  cluster  cluster_bootstrap  separate     1647   -17.483    9.047e-13
  14 defect_only  lenient  cluster  permutation        separate     1647   -17.483    9.047e-13
  15 defect_only  lenient  cluster  ols_robustSE       separate     1647   -17.483    2.230e-30
  16 defect_only  lenient  cluster  cluster_bootstrap  pooled       1647   -17.465    9.999e-05
  17 defect_only  lenient  cluster  permutation        pooled       1647   -17.465    9.999e-05
  18 defect_only  lenient  cluster  ols_robustSE       pooled       1647   -17.465    1.021e-19
  19 defect_only  strict   cluster  cluster_bootstrap  pooled       1648   -17.373    9.999e-05
  20 defect_only  strict   cluster  permutation        pooled       1648   -17.373    9.999e-05
  21 defect_only  strict   cluster  ols_robustSE       pooled       1648   -17.373    1.879e-19
  22 defect_only  strict   cluster  cluster_bootstrap  separate     1648   -17.373    9.047e-13
  23 defect_only  strict   cluster  permutation        separate     1648   -17.373    9.047e-13
  24 defect_only  strict   cluster  ols_robustSE       separate     1648   -17.373    7.202e-30
  25 none         lenient  model    cluster_bootstrap  pooled       1691   -17.328    9.999e-05
  26 none         lenient  model    permutation        pooled       1691   -17.328    9.999e-05
  27 none         lenient  model    ols_robustSE       pooled       1691   -17.328    1.007e-02
  28 none         lenient  cell     mcnemar_exact      separate     1691   -17.328    2.589e-49
  29 none         lenient  cell     cluster_bootstrap  separate     1691   -17.328    9.047e-13
  30 none         lenient  cell     permutation        separate     1691   -17.328    9.047e-13
  31 none         lenient  cell     logit_robustSE     separate     1691   -17.328    3.724e-40
  32 none         lenient  cell     mcnemar_exact      pooled       1691   -17.327    3.719e-53
  33 none         lenient  cell     cluster_bootstrap  pooled       1691   -17.327    9.999e-05
  34 none         lenient  cell     permutation        pooled       1691   -17.327    9.999e-05
  35 none         lenient  cell     logit_robustSE     pooled       1691   -17.327    1.662e-24
  36 none         lenient  item     cluster_bootstrap  pooled       1691   -17.317    9.999e-05
  37 none         lenient  item     permutation        pooled       1691   -17.317    9.999e-05
  38 none         lenient  item     ols_robustSE       pooled       1691   -17.317    3.884e-25
  39 none         strict   model    cluster_bootstrap  pooled       1692   -17.258    9.999e-05
  40 none         strict   model    permutation        pooled       1692   -17.258    9.999e-05
  41 none         strict   model    ols_robustSE       pooled       1692   -17.258    1.009e-02
  42 none         strict   cell     mcnemar_exact      separate     1692   -17.258    1.076e-48
  43 none         strict   cell     cluster_bootstrap  separate     1692   -17.258    9.047e-13
  44 none         strict   cell     permutation        separate     1692   -17.258    9.047e-13
  45 none         strict   cell     logit_robustSE     separate     1692   -17.258    7.941e-40
  46 none         strict   cell     mcnemar_exact      pooled       1692   -17.258    1.346e-52
  47 none         strict   cell     cluster_bootstrap  pooled       1692   -17.258    9.999e-05
  48 none         strict   cell     permutation        pooled       1692   -17.258    9.999e-05
  49 none         strict   cell     logit_robustSE     pooled       1692   -17.258    2.878e-24
  50 none         strict   item     cluster_bootstrap  pooled       1692   -17.258    9.999e-05
  51 none         strict   item     permutation        pooled       1692   -17.258    9.999e-05
  52 none         strict   item     ols_robustSE       pooled       1692   -17.258    5.852e-25
  53 defect_only  lenient  model    cluster_bootstrap  pooled       1647   -17.062    9.999e-05
  54 defect_only  lenient  model    permutation        pooled       1647   -17.062    9.999e-05
  55 defect_only  lenient  model    ols_robustSE       pooled       1647   -17.062    8.717e-03
  56 defect_only  lenient  cell     mcnemar_exact      separate     1647   -17.062    7.558e-47
  57 defect_only  lenient  cell     cluster_bootstrap  separate     1647   -17.062    9.047e-13
  58 defect_only  lenient  cell     permutation        separate     1647   -17.062    9.047e-13
  59 defect_only  lenient  cell     logit_robustSE     separate     1647   -17.062    6.472e-38
  60 defect_only  lenient  cell     mcnemar_exact      pooled       1647   -17.061    1.241e-50
  61 defect_only  lenient  cell     cluster_bootstrap  pooled       1647   -17.061    9.999e-05
  62 defect_only  lenient  cell     permutation        pooled       1647   -17.061    9.999e-05
  63 defect_only  lenient  cell     logit_robustSE     pooled       1647   -17.061    2.434e-23
  64 defect_only  lenient  item     cluster_bootstrap  pooled       1647   -17.051    9.999e-05
  65 defect_only  lenient  item     permutation        pooled       1647   -17.051    9.999e-05
  66 defect_only  lenient  item     ols_robustSE       pooled       1647   -17.051    6.663e-24
  67 defect_only  strict   cell     mcnemar_exact      pooled       1648   -16.990    4.415e-50
  68 defect_only  strict   cell     cluster_bootstrap  pooled       1648   -16.990    9.999e-05
  69 defect_only  strict   cell     permutation        pooled       1648   -16.990    9.999e-05
  70 defect_only  strict   cell     logit_robustSE     pooled       1648   -16.990    4.202e-23
  71 defect_only  strict   item     cluster_bootstrap  pooled       1648   -16.990    9.999e-05
  72 defect_only  strict   item     permutation        pooled       1648   -16.990    9.999e-05
  73 defect_only  strict   item     ols_robustSE       pooled       1648   -16.990    1.003e-23
  74 defect_only  strict   model    cluster_bootstrap  pooled       1648   -16.990    9.999e-05
  75 defect_only  strict   model    permutation        pooled       1648   -16.990    9.999e-05
