dimension,level,all_questions,all_B_cells,all_B_incorrect_cells,all_B_accuracy,core150_questions,core150_rate_within_level,hard200_questions,hard200_rate_within_level
origin,new182,180,720,198,0.72500000,58,0.32222222,72,0.40000000
origin,replacement22_2026-08-04,22,88,21,0.76136364,6,0.27272727,9,0.40909091
origin,retained318,298,1192,313,0.73741611,86,0.28859060,119,0.39932886
region,Andalucía,64,256,91,0.64453125,30,0.46875000,35,0.54687500
region,Aragón,32,128,41,0.67968750,12,0.37500000,13,0.40625000
region,Castilla y León,27,108,25,0.76851852,5,0.18518519,7,0.25925926
region,Castilla-La Mancha,48,192,38,0.80208333,9,0.18750000,12,0.25000000
region,Comunidad de Madrid,39,156,35,0.77564103,9,0.23076923,15,0.38461538
region,Comunitat Valenciana,23,92,28,0.69565217,7,0.30434783,13,0.56521739
region,Galicia,70,280,81,0.71071429,23,0.32857143,30,0.42857143
region,Illes Balears,90,360,70,0.80555556,19,0.21111111,31,0.34444444
region,La Rioja,51,204,59,0.71078431,19,0.37254902,24,0.47058824
region,Navarra,34,136,44,0.67647059,12,0.35294118,15,0.44117647
region,Región de Murcia,22,88,20,0.77272727,5,0.22727273,5,0.22727273
year,2016,22,88,29,0.67045455,8,0.36363636,8,0.36363636
year,2017,46,184,53,0.71195652,15,0.32608696,15,0.32608696
year,2019,63,252,55,0.78174603,11,0.17460317,17,0.26984127
year,2020,11,44,10,0.77272727,3,0.27272727,4,0.36363636
year,2021,110,440,127,0.71136364,39,0.35454545,51,0.46363636
year,2022,229,916,239,0.73908297,67,0.29257642,96,0.41921397
year,2024,19,76,19,0.75000000,7,0.36842105,9,0.47368421
negated_stem,False,401,1604,427,0.73379052,118,0.29426434,160,0.39900249
negated_stem,True,99,396,105,0.73484848,32,0.32323232,40,0.40404040
correct_letter,b,178,712,211,0.70365169,64,0.35955056,78,0.43820225
correct_letter,c,198,792,196,0.75252525,53,0.26767677,78,0.39393939
correct_letter,d,124,496,125,0.74798387,33,0.26612903,44,0.35483871
