section,contrast,direction,left_group,right_group,n,estimate,ci_low,ci_high,p_value,p_holm
arm,OpenRouter A,accuracy,OpenRouter A,,2000,0.8985,0.8844916613108394,0.9109804520060018,,
arm,OpenRouter B,accuracy,OpenRouter B,,2000,0.734,0.7141995838511511,0.7529032380212225,,
arm,GIFT / RAG A,accuracy,GIFT / RAG A,,2000,0.9185,0.9056914879040412,0.92970394352155,,
paired,OpenRouter B minus A,OpenRouter B minus OpenRouter A,OpenRouter B,OpenRouter A,2000,-0.1645,-0.1875,-0.1415,1.8483188392835404e-61,
paired,GIFT / RAG A minus OpenRouter A,GIFT / RAG A minus OpenRouter A,GIFT / RAG A,OpenRouter A,2000,0.02,0.0075,0.033,0.001081290068447198,
taxonomy,OpenRouter A,Gemini (proprietary) minus Open-weight set,Gemini (proprietary),Open-weight set,500,0.11133333333333334,0.09,0.13333333333333333,4.904167931895511e-25,1.9616671727582043e-24
taxonomy,OpenRouter B,Gemini (proprietary) minus Open-weight set,Gemini (proprietary),Open-weight set,500,0.22133333333333338,0.19000000000000003,0.2526666666666667,1.87395910416513e-39,1.124375462499078e-38
taxonomy,GIFT / RAG A,Gemini (proprietary) minus Open-weight set,Gemini (proprietary),Open-weight set,500,0.07400000000000001,0.05600000000000001,0.09266666666666669,5.663454330364777e-19,1.1326908660729553e-18
capacity,OpenRouter A,High-capacity set minus Low-active-parameter set,High-capacity set,Low-active-parameter set,500,0.123,0.099,0.149,1.552930708342144e-19,4.658792125026432e-19
capacity,OpenRouter B,High-capacity set minus Low-active-parameter set,High-capacity set,Low-active-parameter set,500,0.21,0.177,0.244,2.351691587443361e-28,1.1758457937216805e-27
capacity,GIFT / RAG A,High-capacity set minus Low-active-parameter set,High-capacity set,Low-active-parameter set,500,0.097,0.075,0.119,2.5545406331694203e-17,2.5545406331694203e-17
