arm,model,flip_rate,n_flipped,n_cells,exclude_vertex
openrouter_A,google/gemini-3.6-flash,0.0,0,9,False
openrouter_A,google/gemma-4-26b-a4b-it,0.13333333333333333,14,105,False
openrouter_A,qwen/qwen3.6-35b-a3b,0.46551724137931033,27,58,False
openrouter_A,z-ai/glm-5.2,0.3225806451612903,10,31,False
openrouter_B,google/gemini-3.6-flash,0.2,10,50,False
openrouter_B,google/gemma-4-26b-a4b-it,0.06986899563318777,16,229,False
openrouter_B,qwen/qwen3.6-35b-a3b,0.2887323943661972,41,142,False
openrouter_B,z-ai/glm-5.2,0.16216216216216217,18,111,False
tailscale_A,google/gemini-3.6-flash,0.15384615384615385,2,13,False
tailscale_A,google/gemma-4-26b-a4b-it,0.08641975308641975,7,81,False
tailscale_A,qwen/qwen3.6-35b-a3b,0.40816326530612246,20,49,False
tailscale_A,z-ai/glm-5.2,0.25,5,20,False
openrouter_A,google/gemini-3.6-flash,0.0,0,9,True
openrouter_A,google/gemma-4-26b-a4b-it,0.13333333333333333,14,105,True
openrouter_A,qwen/qwen3.6-35b-a3b,0.46551724137931033,27,58,True
openrouter_A,z-ai/glm-5.2,0.3225806451612903,10,31,True
openrouter_B,google/gemini-3.6-flash,0.25,1,4,True
openrouter_B,google/gemma-4-26b-a4b-it,0.06986899563318777,16,229,True
openrouter_B,qwen/qwen3.6-35b-a3b,0.2887323943661972,41,142,True
openrouter_B,z-ai/glm-5.2,0.16216216216216217,18,111,True
tailscale_A,google/gemini-3.6-flash,0.15384615384615385,2,13,True
tailscale_A,google/gemma-4-26b-a4b-it,0.08641975308641975,7,81,True
tailscale_A,qwen/qwen3.6-35b-a3b,0.40816326530612246,20,49,True
tailscale_A,z-ai/glm-5.2,0.25,5,20,True
