arm,model_i,model_j,n,acc_i,acc_j,b_i_only,c_j_only,mcnemar_exact_p,risk_diff_i_minus_j,rd_ci_lo,rd_ci_hi,or_i_vs_j,or_ci_lo,or_ci_hi,p_holm,reject_holm_0.05
openrouter_A,google/gemini-3.6-flash,google/gemma-4-26b-a4b-it,500,0.982,0.79,101,5,2.6256041585124165e-24,0.192,0.15531818619476168,0.22868181380523833,20.2,8.376337513525721,63.553443443033146,1.57536249510745e-23,True
openrouter_A,google/gemini-3.6-flash,qwen/qwen3.6-35b-a3b,500,0.982,0.884,52,3,1.5418777365994174e-12,0.098,0.07022709594722196,0.12577290405277805,17.333333333333332,5.612227983559072,86.77314574077221,6.16751094639767e-12,True
openrouter_A,google/gemini-3.6-flash,z-ai/glm-5.2,500,0.982,0.938,26,4,5.9476122260093696e-05,0.044,0.022878898467893122,0.06512110153210687,6.5,2.255013898425024,25.62867901805549,0.00011895224452018739,True
openrouter_A,google/gemma-4-26b-a4b-it,qwen/qwen3.6-35b-a3b,500,0.79,0.884,22,69,8.187199365843673e-07,-0.094,-0.13047471385019155,-0.05752528614980845,0.3188405797101449,0.18783158799723965,0.5216864702132334,2.4561598097531017e-06,True
openrouter_A,google/gemma-4-26b-a4b-it,z-ai/glm-5.2,500,0.79,0.938,12,86,5.9330047473754754e-15,-0.148,-0.18457273888697875,-0.11142726111302123,0.13953488372093023,0.06940490132446067,0.2564816774580413,2.966502373687738e-14,True
openrouter_A,qwen/qwen3.6-35b-a3b,z-ai/glm-5.2,500,0.884,0.938,14,41,0.00035528111863147854,-0.054,-0.0826830534063307,-0.025316946593669294,0.34146341463414637,0.17192139000868464,0.6394207040668138,0.00035528111863147854,True
openrouter_B,google/gemini-3.6-flash,google/gemma-4-26b-a4b-it,500,0.9,0.542,197,18,3.0231995109672875e-39,0.358,0.30984419942305946,0.4061558005769405,10.944444444444445,6.746653516413198,18.851826076225645,1.8139197065803725e-38,True
openrouter_B,google/gemini-3.6-flash,qwen/qwen3.6-35b-a3b,500,0.9,0.716,107,15,2.684428613420482e-18,0.184,0.14381892180600558,0.2241810781939944,7.133333333333334,4.1368978587230565,13.18933550073797,1.1212339780302043e-17,True
openrouter_B,google/gemini-3.6-flash,z-ai/glm-5.2,500,0.9,0.778,76,15,5.477140413468489e-11,0.122,0.08616791291930878,0.1578320870806912,5.066666666666666,2.8871583345109846,9.493623159418261,1.0954280826936979e-10,True
openrouter_B,google/gemma-4-26b-a4b-it,qwen/qwen3.6-35b-a3b,500,0.542,0.716,44,131,3.1056312033162244e-11,-0.174,-0.223562215043067,-0.12443778495693299,0.33587786259541985,0.23307268811530624,0.4759292862238519,9.316893609948672e-11,True
openrouter_B,google/gemma-4-26b-a4b-it,z-ai/glm-5.2,500,0.542,0.778,37,155,2.2424679560604087e-18,-0.236,-0.2862228294039506,-0.18577717059604937,0.23870967741935484,0.16206516994810516,0.34354509770113334,1.1212339780302043e-17,True
openrouter_B,qwen/qwen3.6-35b-a3b,z-ai/glm-5.2,500,0.716,0.778,44,75,0.005726861906884238,-0.062,-0.10441463501242121,-0.019585364987578784,0.5866666666666667,0.3948576710630394,0.8624175159593951,0.005726861906884238,True
tailscale_A,google/gemini-3.6-flash,google/gemma-4-26b-a4b-it,500,0.974,0.838,72,4,3.589836803538052e-17,0.136,0.10397344481846515,0.16802655518153486,18.0,6.733404284458221,67.84890931961225,2.1539020821228312e-16,True
tailscale_A,google/gemini-3.6-flash,qwen/qwen3.6-35b-a3b,500,0.974,0.902,43,7,2.098677427397888e-07,0.072,0.04500993666021014,0.09899006333978985,6.142857142857143,2.7397716894110564,16.184581205753528,8.394709709591552e-07,True
tailscale_A,google/gemini-3.6-flash,z-ai/glm-5.2,500,0.974,0.96,12,5,0.143463134765625,0.014,-0.0021156243425282297,0.03011562434252823,2.4,0.7870458941728161,8.695981118680269,0.143463134765625,False
tailscale_A,google/gemma-4-26b-a4b-it,qwen/qwen3.6-35b-a3b,500,0.838,0.902,26,58,0.0006279472715818216,-0.064,-0.09948606674589479,-0.028513933254105214,0.4482758620689655,0.27087422806671096,0.7235316219613002,0.0012558945431636432,True
tailscale_A,google/gemma-4-26b-a4b-it,z-ai/glm-5.2,500,0.838,0.96,7,68,1.1671767873150363e-13,-0.122,-0.15421932805062538,-0.08978067194937463,0.10294117647058823,0.03988359834520742,0.22383071545798744,5.835883936575182e-13,True
tailscale_A,qwen/qwen3.6-35b-a3b,z-ai/glm-5.2,500,0.902,0.96,9,38,2.4904030624384174e-05,-0.058,-0.08438842404056873,-0.03161157595943128,0.23684210526315788,0.10070524916054366,0.49834583406674693,7.471209187315252e-05,True
