arm,arm_label,provider,model,scope,n_paired,n_scored,n_excluded_unparsed,n_excluded_no_cluster,n_clusters,n_flips,flip_rate,cluster_robust_se,ci95_lo_analytic,ci95_hi_analytic,ci95_lo_bootstrap,ci95_hi_bootstrap,dir_correct_to_wrong,dir_wrong_to_correct,dir_wrong_to_wrong,dir_correct_to_correct_flip,accuracy_control,accuracy_altered,note
BM,biomarker,openrouter,google/gemini-3.5-flash,per_model,100,100,0,0,33,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.97,0.97,
BM,biomarker,openrouter,qwen/qwen3.7-max,per_model,100,100,0,0,33,6,0.06000000000000002,0.021243234217039563,0.01836402601945354,0.1016359739805465,0.02112490733876946,0.10811373873873867,3,3,0,0,0.92,0.92,
BM,biomarker,openrouter,qwen/qwen3.6-35b-a3b,per_model,100,100,0,0,33,7,0.07000000000000002,0.02369414484635393,0.023560329456670984,0.11643967054332906,0.028169014084507043,0.13095238095238096,2,5,0,0,0.84,0.87,
BM,biomarker,openrouter,google/gemma-4-26b-a4b-it,per_model,100,100,0,0,33,9,0.09000000000000002,0.029001508581451438,0.033158087683025896,0.14684191231697416,0.041666666666666664,0.16666666666666666,5,1,3,0,0.88,0.84,
AN,anatomy,openrouter,google/gemini-3.5-flash,per_model,100,100,0,0,34,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.96,0.96,
AN,anatomy,openrouter,qwen/qwen3.7-max,per_model,100,100,0,0,34,2,0.020000000000000004,0.012973446073819523,-0.005427487060058828,0.045427487060058835,0.0,0.05263157894736842,1,1,0,0,0.92,0.92,
AN,anatomy,openrouter,qwen/qwen3.6-35b-a3b,per_model,100,100,0,0,34,8,0.08000000000000002,0.026580831553219074,0.027902527476564763,0.13209747252343526,0.030073308270676693,0.140625,5,1,2,0,0.91,0.87,
AN,anatomy,openrouter,google/gemma-4-26b-a4b-it,per_model,100,100,0,0,34,10,0.10000000000000003,0.03492676320357771,0.03154480202442893,0.16845519797557112,0.04672897196261682,0.2054794520547945,8,1,1,0,0.88,0.81,
BM,biomarker,openrouter,POOLED (4 models),pooled_arm,400,400,0,0,33,22,0.055000000000000035,0.01357323883603323,0.02839694072781454,0.08160305927218553,0.031862745098039214,0.09000225225225221,10,9,3,0,nan,nan,pooled across 4 models; clustered on cluster id
AN,anatomy,openrouter,POOLED (4 models),pooled_arm,400,400,0,0,34,20,0.05000000000000003,0.013466006584482784,0.02360711207883455,0.07639288792116551,0.028124122191011236,0.0847457627118644,14,3,3,0,nan,nan,pooled across 4 models; clustered on cluster id
